BarcodeID,TripID,Date,GearID,TimeDay,TimeBegin,TimeElapsed,DepthTotal,DepthSample,DepthIntegrated,Velocity,Volume,Temperature,Discharge,Stage,SpC,FlagStrange,Notes
D01293,LF20121117,11/24/2012,24,Day,14:45:00,390,20,NA,1,0.46,13.01,9.7,7040,7.81,647,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01294,LF20121117,11/24/2012,4,Day,14:59:10,350,20,NA,1,0.47,33.23,9.7,7070,7.82,647,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01295,LF20121117,11/24/2012,24,Day,15:14:00,260,18.5,NA,1,0.46,8.8,9.7,7040,7.81,646,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01296,LF20121117,11/24/2012,24,Crepuscular,18:24:00,360,24,NA,1,0.42,11.12,9.8,8180,8.15,636,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01297,LF20121117,11/24/2012,24,Crepuscular,18:38:30,390,24,NA,1,0.48,13.69,9.9,8320,8.19,635,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01298,LF20121117,11/24/2012,24,Crepuscular,18:52:30,300,20,NA,1,0.49,10.65,9.9,8320,8.19,635,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01299,LF20121117,11/24/2012,4,Night,19:06:10,300,20,NA,1,0.45,27.65,9.9,8430,8.22,636,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01300,LF20121117,11/24/2012,24,Night,19:18:20,260,18.5,NA,1,0.49,9.26,9.9,8500,8.24,635,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01348,LF20121117,11/25/2012,24,Day,9:10:30,410,24,NA,1,0.27,8.2,9.9,7100,7.83,640,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01349,LF20121117,11/25/2012,24,Day,9:27:30,420,24,NA,1,0.38,11.62,9.9,7070,7.82,638,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01350,LF20121117,11/25/2012,24,Day,9:42:10,320,20,NA,1,0.41,9.54,9.9,7040,7.81,641,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01351,LF20121117,11/25/2012,4,Day,9:56:00,330,20,NA,1,0.39,26.05,9.9,7000,7.8,643,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01352,LF20121117,11/25/2012,24,Day,10:08:10,300,18.5,NA,1,0.39,8.54,9.9,6970,7.79,643,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01399,LF20130913,9/13/2013,4,Day,13:36:50,313,25,NA,1,0.58,36.52,10.8,6780,7.68,769,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Labeled LAGRA1."
D01400,LF20130913,9/13/2013,4,Day,13:49:40,297,24,NA,1,0.58,35.02,10.8,6780,7.68,769,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Labeled LAGRA2."
D01401,LF20130913,9/13/2013,4,Day,14:06:44,306,23,NA,1,0.66,40.82,10.8,6880,7.71,770,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Labeled LAGRA3."
D01402,LF20130913,9/13/2013,4,Day,14:22:20,304,23,NA,1,0.61,37.62,10.8,6940,7.73,771,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Labeled LAGRA4."
D01403,LF20130913,9/13/2013,4,Day,14:53:00,246,17,NA,1,0.35,17.49,10.8,7390,7.87,773,0,Abbreviated Lees Ferry Lagrangian sampling. Only did buoy sample. Labeled LAGRA BUOY.
D01529,LF20131018,10/18/2013,4,Day,11:42:02,311,18,NA,1,0.31,19.62,11.2,5990,7.42,729,0,Abbreviated Lees Ferry Lagrangian sampling. 
D01535,LF20131018,10/18/2013,4,Day,15:35:43,341,23,NA,1,0.42,29.12,10.9,6230,7.5,731,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01536,LF20131018,10/18/2013,4,Day,15:45:52,338,23,NA,1,0.44,30.41,10.9,6410,7.56,731,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01537,LF20131018,10/18/2013,4,Day,15:55:00,310,19,NA,1,0.44,27.46,11,6630,7.63,731,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01538,LF20131018,10/18/2013,4,Day,16:04:07,310,18,NA,1,0.43,27.11,11,6630,7.63,731,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01539,LF20131110,11/10/2013,4,Day,9:08:12,303,22,NA,1,0.28,17.29,11.7,7000,7.75,736,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01540,LF20131110,11/10/2013,4,Day,9:20:58,299,22,NA,1,0.3,18.07,11.7,7000,7.75,736,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01542,LF20131110,11/10/2013,4,Day,9:45:30,302,19,NA,1,0.34,20.55,11.6,6720,7.66,738,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01566,LF20131110,11/10/2013,4,Day,17:23:55,303,22.5,NA,1,0.4,24.69,11.4,6970,7.74,738,0,HFE Lagrangian sampling. 
D01567,LF20131110,11/11/2013,3,Day,16:48:12,179,27,NA,1,1.01,13.21,10.8,5620,7.29,750,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01568,LF20131110,11/11/2013,3,Day,16:57:35,180,25.5,NA,1,0.92,12.04,10.8,5790,7.35,751,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01569,LF20131110,11/11/2013,3,Day,17:08:30,178,25.5,NA,1,1.08,13.98,11,5990,7.42,749,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01570,LF20131110,11/11/2013,3,Day,17:18:58,182,21.5,NA,1,0.86,11.43,11,5990,7.42,749,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01593,LF20131110,11/11/2013,3,Day,16:34:25,180,25,NA,1,0.93,12.29,10.8,5490,7.24,750,0,HFE Lagrangian sampling. 
D01594,LF20131110,11/12/2013,3,Day,9:02:09,178,30,NA,1,1.38,17.92,10.3,36700,12.82,829,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01595,LF20131110,11/12/2013,3,Day,9:13:43,121,29.5,NA,1,1.28,11.3,10.3,36800,12.83,830,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01596,LF20131110,11/12/2013,3,Day,9:24:33,62,28.5,NA,1,1.44,6.5,10.3,37000,12.85,830,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01597,LF20131110,11/12/2013,3,Day,9:38:16,85,23.5,NA,1,1.46,9.04,10.3,36900,12.84,830,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01598,LF20131110,11/12/2013,3,Day,9:47:13,90,21.5,NA,1,0.67,4.38,10.3,36900,12.84,830,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01621,LF20131110,11/12/2013,3,Day,16:45:03,76,27,NA,1,1.51,8.4,10.3,37200,12.88,828,1,HFE Lagrangian sampling. Short sample duration verified (2017-06-28 JDM).
D01622,LF20131110,11/13/2013,3,Day,8:53:24,157,29,NA,1,1.51,17.36,10.5,37000,12.85,827,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01623,LF20131110,11/13/2013,3,Day,9:06:13,121,31,NA,1,1.48,13.1,10.5,37000,12.85,827,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01624,LF20131110,11/13/2013,3,Day,9:16:19,167,27,NA,1,1.58,19.25,10.5,36800,12.83,827,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01625,LF20131110,11/13/2013,3,Day,9:25:49,151,23,NA,1,1.39,15.34,10.5,37200,12.88,827,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01626,LF20131110,11/13/2013,3,Day,9:36:21,166,21.5,NA,1,1.19,14.47,10.5,37200,12.88,827,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01649,LF20131110,11/13/2013,3,Day,16:10:07,157,28,NA,1,1.33,15.26,10.5,37100,12.86,824,0,HFE Lagrangian sampling. 
D01650,LF20131110,11/14/2013,3,Day,9:05:51,107,29,NA,1,1.38,10.79,10.6,36700,12.82,823,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01651,LF20131110,11/14/2013,3,Day,9:15:05,150,30,NA,1,1.44,15.8,10.6,36900,12.84,823,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01652,LF20131110,11/14/2013,3,Day,9:23:11,117,28,NA,1,1.41,12.06,10.6,36900,12.84,828,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01653,LF20131110,11/14/2013,3,Day,9:31:07,106,23,NA,1,1.42,10.96,10.6,36900,12.84,828,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01654,LF20131110,11/14/2013,3,Day,9:38:47,104,21,NA,1,1.16,8.8,10.6,36800,12.83,823,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01677,LF20131110,11/14/2013,3,Day,16:35:08,117,27.5,NA,1,1.44,12.31,10.5,37200,12.88,819,1,HFE Lagrangian sampling. Short sample duration verified (2017-06-28 JDM).
D01678,LF20131110,11/15/2013,3,Day,9:15:10,132,29,NA,1,1.57,15.1,10.6,36800,12.83,814,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01679,LF20131110,11/15/2013,3,Day,9:25:50,142,30,NA,1,1.54,15.94,10.6,36900,12.84,811,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01680,LF20131110,11/15/2013,3,Day,9:35:20,142,28,NA,1,1.5,15.57,10.6,36900,12.84,811,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01681,LF20131110,11/15/2013,3,Day,9:44:15,120,23,NA,1,1.4,12.29,10.6,36700,12.82,810,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01682,LF20131110,11/15/2013,3,Day,9:53:12,153,21,NA,1,1.2,13.44,10.6,36900,12.84,809,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01705,LF20131110,11/15/2013,3,Day,16:54:32,120,27.5,NA,1,1.48,12.99,10.6,36700,12.82,804,1,HFE Lagrangian sampling. Flowmeter readings and therefore low filtration efficiency verified (2017-06-27 JDM).
D01706,LF20131110,11/16/2013,3,Day,9:05:16,183,26.5,NA,1,0.84,11.18,10.6,29100,11.9,809,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01707,LF20131110,11/16/2013,3,Day,9:14:18,177,26.5,NA,1,0.88,11.36,10.6,28400,11.82,809,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01708,LF20131110,11/16/2013,3,Day,9:23:08,180,24.5,NA,1,0.98,12.87,10.6,28200,11.79,808,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01709,LF20131110,11/16/2013,3,Day,9:31:11,182,21,NA,1,0.7,9.34,10.6,28200,11.79,808,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01732,LF20131110,11/16/2013,3,Day,16:39:29,178,23.5,NA,1,0.38,4.94,11.1,18700,10.37,780,1,HFE Lagrangian sampling. Flowmeter readings and therefore low filtration efficiency verified (2017-06-27 JDM).
D01733,LF20131110,11/17/2013,4,Day,9:03:02,313,22.5,NA,1,0.16,10.09,11.8,6880,7.71,745,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01734,LF20131110,11/17/2013,4,Day,9:15:13,296,23.5,NA,1,0.23,13.8,11.8,6720,7.66,745,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01735,LF20131110,11/17/2013,4,Day,9:27:01,301,21.5,NA,1,0.33,20.04,11.8,6590,7.62,745,0,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01736,LF20131110,11/17/2013,4,Day,9:38:35,301,17.5,NA,1,0.14,8.58,11.7,6440,7.6,746,1,"HFE cableway cross-section. Cross section broken up into fifths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Stations 1-4 are identical to typical cableway cross sections, with station 5 added due to incre"
D01737,LF20131110,11/17/2013,4,Day,9:51:39,350,21.5,NA,1,0.32,22.56,11.7,6440,7.6,746,0,HFE Lagrangian sampling. 
D01760,LF20140103,1/3/2014,4,Day,11:44:00,290,25,NA,1,0.52,30.81,8.9,8940,8.31,766,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01762,LF20140103,1/3/2014,4,Day,12:01:58,287,21,NA,1,0.71,41.46,8.9,8900,8.3,766,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01763,LF20140103,1/3/2014,4,Day,12:14:30,288,20,NA,1,0.72,41.8,8.9,8860,8.29,766,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01764,LF20140103,1/3/2014,4,Day,12:39:13,287,23,NA,1,0.58,33.68,8.9,8750,8.26,766,0,Abbreviated Lees Ferry Lagrangian sampling. 
D01900,LF20140320,3/20/2014,4,Day,10:40:20,315,13,NA,1,0.37,23.81,8.6,7230,7.75,877,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01901,LF20140320,3/20/2014,4,Day,11:12:00,311,23,NA,1,0.48,29.95,8.5,6970,7.67,876,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01902,LF20140320,3/20/2014,4,Day,11:25:37,353,19.5,NA,1,0.41,29.34,8.5,6840,7.63,877,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01903,LF20140320,3/20/2014,4,Day,11:41:00,336,18,NA,1,0.43,29.43,8.4,6720,7.59,877,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01904,LF20140320,3/20/2014,4,Day,11:57:34,322,19,NA,1,0.35,22.84,8.4,6630,7.56,877,0,Abbreviated Lees Ferry Lagrangian sampling. 
D01941,LF20140212,2/12/2014,4,Day,16:52:44,276,22,NA,1,0.44,24.53,7.9,12600,9.16,817,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01942,LF20140212,2/12/2014,4,Crepuscular,17:03:36,339,25,NA,1,0.51,34.75,7.9,12600,9.16,817,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01943,LF20140212,2/12/2014,4,Crepuscular,17:20:13,298,23,NA,1,0.52,31.43,7.9,12700,9.19,816,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01944,LF20140212,2/12/2014,4,Crepuscular,17:31:29,298,19,NA,1,0.43,25.98,7.9,12800,9.22,816,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D01945,LF20140212,2/13/2014,4,Day,9:40:47,302,22,NA,1,0.52,31.92,8,10000,8.56,834,0,Abbreviated Lees Ferry Lagrangian sampling. 
D02052,LF20140430,4/30/2014,4,Day,11:39:48,302,23,NA,1,0.39,23.62,8.6,6690,7.58,900,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02053,LF20140430,4/30/2014,4,Day,11:52:26,299,20,NA,1,0.42,25.22,8.6,6690,7.58,900,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02054,LF20140430,4/30/2014,4,Day,12:04:45,319,18,NA,1,0.39,25.42,8.6,6630,7.56,896,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02055,LF20140430,4/30/2014,4,Day,12:23:18,382,21,NA,1,0.36,27.61,8.5,6560,7.54,896,0,Abbreviated Lees Ferry Lagrangian sampling. 
D02071,LF20140820,8/20/2014,4,Day,9:05:51,300,23.5,NA,1,0.5,30.58,12.6,12300,9.06,839,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02072,LF20140820,8/20/2014,4,Day,9:22:50,302,23.5,NA,1,0.53,32.58,12.6,11800,8.94,839,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02073,LF20140820,8/20/2014,4,Day,9:44:16,303,23,NA,1,0.54,33.43,12.6,11600,8.89,838,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02074,LF20140820,8/20/2014,4,Day,9:58:19,302,19.5,NA,1,0.58,35.57,12.6,11300,8.82,838,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02075,LF20140820,8/20/2014,4,Day,10:13:58,302,20,NA,1,0.41,24.95,12.6,11200,8.78,838,0,Abbreviated Lees Ferry Lagrangian sampling. 
D02081,LF20140728,7/28/2014,4,Day,14:38:35,296,25,NA,1,0.62,37.15,12.6,10500,8.61,837,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02082,LF20140728,7/28/2014,4,Day,14:51:00,330,26,NA,1,0.62,41.77,12.6,10500,8.61,837,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02083,LF20140728,7/28/2014,4,Day,15:09:03,303,27,NA,1,0.71,43.36,12.7,10500,8.63,837,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02084,LF20140728,7/28/2014,4,Day,15:20:45,305,21,NA,1,0.72,44.4,12.7,10500,8.63,837,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02090,LF20140728,7/28/2014,4,Day,14:23:40,302,21,NA,1,0.53,32.37,12.6,10500,8.61,838,0,Abbreviated Lees Ferry Lagrangian sampling. 
D02144,LF20140627,6/27/2014,4,Day,12:53:47,301,23,NA,1,0.52,31.98,10.8,7630,7.86,841,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02145,LF20140627,6/27/2014,4,Day,13:08:47,280,25,NA,1,0.61,34.84,10.8,7590,7.85,841,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02146,LF20140627,6/27/2014,4,Day,13:22:50,313,20,NA,1,0.65,41.46,10.8,7530,7.83,841,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02147,LF20140627,6/27/2014,4,Day,13:34:19,295,19,NA,1,0.5,29.66,10.8,7530,7.83,841,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02148,LF20140627,6/27/2014,4,Day,13:56:30,290,19,NA,1,0.52,30.45,10.8,7460,7.81,841,0,Abbreviated Lees Ferry Lagrangian sampling. 
D02382,LF20141016,10/16/2014,4,Day,14:55:00,300,23,NA,1,0.28,17.09,13.8,8040,7.99,778,1,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Flowmeter readings and therefore low filtration efficiency verified (2017-06-27 JDM)."
D02383,LF20141016,10/16/2014,4,Day,15:12:00,300,25,NA,1,0.38,23.1,13.8,8180,8.03,778,1,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). Flowmeter readings and therefore low filtration efficiency verified (2017-06-27 JDM)."
D02384,LF20141016,10/16/2014,4,Day,15:25:00,300,20,NA,1,0.5,30.24,13.8,8280,8.06,778,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02385,LF20141016,10/16/2014,4,Day,15:41:00,300,16,NA,1,0.22,13.29,13.8,8460,8.11,778,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02391,LF20141223,12/23/2014,4,Day,9:20:50,244,24,NA,1,0.58,28.56,11.7,12600,9.18,740,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02392,LF20141223,12/23/2014,4,Day,9:33:20,300,25,NA,1,0.62,37.92,11.7,12300,9.11,740,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02393,LF20141223,12/23/2014,4,Day,9:46:04,299,24,NA,1,0.66,39.89,11.7,12000,9.05,740,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02394,LF20141223,12/23/2014,4,Day,9:56:50,297,21,NA,1,0.73,43.79,11.7,11700,8.98,739,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02395,LF20141223,12/23/2014,4,Day,10:10:57,294,22,NA,1,0.53,31.68,11.7,11400,8.91,739,0,Abbreviated Lees Ferry Lagrangian sampling. 
D02401,LF20140917,9/17/2014,4,Day,8:39:25,300,24,NA,1,0.4,24.37,13.7,9090,8.27,810,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02402,LF20140917,9/17/2014,4,Day,8:52:51,299,24,NA,1,0.46,27.59,13.7,8790,8.19,812,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
D02403,LF20140917,9/17/2014,4,Day,9:04:05,299,20,NA,1,0.5,30.02,13.7,8790,8.19,812,0,"Cableway cross-section. Cross section broken up into fourths, with station 1 on river left and station 5 on river right (recorded after comma in Sample #). "
