BarcodeID,SpeciesID,CountTotal,SizeMean,SizeMedian,SizeSD,BiomassTotal,Notes
D01221,NZMS,15,0.87,1,0.23,0.23,
D01221,SIML,2,3.5,3.5,2.12,0.27,
D01222,CHIL,18,2.83,3,0.79,0.57,
D01222,GAMM,22,2.5,2,1.14,4.05,
D01222,NZMS,577,0.5,0.5,0,2.14,
D01222,SIML,6,2.5,2.5,1.05,0.27,
D01223,CHIL,4,3.25,3.5,0.96,0.17,
D01223,GAMM,10,3.6,3.5,0.97,3.91,
D01223,NZMS,7,1,1,0,0.14,
D01223,SIML,1,3,3,NA,0.05,
D01224,CHIL,2,2.5,2.5,0.71,0.04,
D01224,GAMM,3,3,3,0,0.59,
D01224,NZMS,10,0.9,1,0.46,0.22,
D01224,SIML,0,NA,NA,NA,0,
D01225,CHIL,7,3.86,4,1.21,0.5,
D01225,GAMM,17,2.94,3,0.66,3.58,
D01225,NZMS,50,1.02,0.5,0.99,3.14,
D01225,SIML,3,4.33,4,1.53,0.62,
D01226,CHIL,8,3.38,3,0.92,0.39,
D01226,GAMM,14,3.57,3,1.4,6.49,
D01226,NZMS,14,1.18,1,0.95,0.94,
D01226,SIML,1,3,3,NA,0.05,
D01227,CHIL,1,3,3,NA,0.03,
D01227,GAMM,8,3.25,3,0.89,2.36,
D01227,NZMS,1,3,3,NA,0.29,
D01227,SIML,0,NA,NA,NA,0,
D01228,CHIL,43,3.16,3,0.78,1.77,
D01228,GAMM,43,2.05,2,1,5.02,
D01228,NZMS,558,0.52,0.5,0.09,2.36,
D01228,SIML,11,3.09,3,0.94,0.82,
D01229,CHIL,4,3.25,3.5,0.96,0.17,
D01229,GAMM,4,2.75,3,0.5,0.65,
D01229,NZMS,1,1,1,NA,0.02,
D01229,SIML,4,2.25,2,0.5,0.1,
D01230,CHIL,2,3,3,0,0.06,
D01230,GAMM,4,3,3,0.82,0.91,
D01230,NZMS,0,NA,NA,NA,0,
D01230,SIML,1,2,2,NA,0.02,
D01231,CHIL,1,5,5,NA,0.12,
D01231,GAMM,9,2.67,3,1,1.69,
D01231,NZMS,20,0.78,1,0.26,0.25,
D01231,SIML,7,3.43,3,0.98,0.69,
D01232,CHIL,8,3.12,3,0.83,0.31,
D01232,GAMM,7,2.71,2,0.95,1.35,
D01232,NZMS,1,1,1,NA,0.02,
D01232,SIML,7,3.43,4,1.4,0.82,
D01233,CHIL,4,3.25,3,0.5,0.16,
D01233,GAMM,4,3.5,3.5,0.58,1.3,
D01233,NZMS,0,NA,NA,NA,0,
D01233,SIML,10,2.6,2.5,0.7,0.43,
D01234,CHIL,41,2.73,3,0.84,1.22,
D01234,GAMM,22,2.18,2,0.73,2.27,
D01234,NZMS,229,0.58,0.5,0.18,1.44,
D01234,SIML,31,2.35,2,0.88,1.19,
D01235,CHIL,7,2.57,2,0.79,0.17,
D01235,GAMM,4,2.75,2.5,0.96,0.77,
D01235,NZMS,4,1,1,0,0.08,
D01235,SIML,5,3,3,0.71,0.31,
D01236,CHIL,4,2,2,0,0.04,
D01236,GAMM,9,3.33,3,1.66,4.05,
D01236,NZMS,0,NA,NA,NA,0,
D01236,SIML,9,3.22,3,0.67,0.68,
D01237,CHIL,5,3.8,3,1.92,0.43,
D01237,GAMM,14,4.36,3,4.07,38.24,
D01237,NZMS,19,0.92,1,0.34,0.39,
D01237,SIML,24,3.62,4,0.92,2.77,
D01238,CHIL,4,3,3,1.63,0.18,
D01238,GAMM,14,4.07,3,2.16,12.51,
D01238,NZMS,8,1.38,1,1.06,0.72,
D01238,SIML,29,3.9,4,1.45,4.99,
D01239,CHIL,6,2.33,2,0.82,0.12,
D01239,GAMM,4,3,3,0.82,0.91,
D01239,NZMS,4,1.75,1.5,0.96,0.44,
D01239,SIML,34,3.62,3,1.26,4.57,
D01240,CHIL,29,3.38,3,1.12,1.52,
D01240,GAMM,33,2.82,3,0.95,7.06,
D01240,NZMS,127,0.5,0.5,0,0.47,
D01240,SIML,136,3.55,4,1.28,17.84,
D01241,CHIL,3,3.33,3,0.58,0.13,
D01241,GAMM,4,3.75,4,0.5,1.55,
D01241,NZMS,0,NA,NA,NA,0,
D01241,SIML,46,3.3,3,1.03,4.4,
D01242,CHIL,3,3,2,1.73,0.14,
D01242,GAMM,2,4.5,4.5,0.71,1.31,
D01242,NZMS,0,NA,NA,NA,0,
D01242,SIML,26,3.92,4,0.84,3.63,
D01291,CHIL,7,2.57,3,0.53,0.16,
D01291,GAMM,1,3,3,NA,0.2,
D01291,NZMS,5,1.2,1,0.45,0.19,
D01291,SIML,4,3.5,3,1,0.41,
D01292,CHIL,6,2.83,3,0.75,0.18,
D01292,GAMM,1,2,2,NA,0.06,
D01292,NZMS,0,NA,NA,NA,0,
D01292,SIML,1,5,5,NA,0.25,
D01293,CHIL,3,2.67,3,0.58,0.07,
D01293,GAMM,1,2,2,NA,0.06,
D01293,NZMS,0,NA,NA,NA,0,
D01293,SIML,1,2,2,NA,0.02,
D01294,CHIL,31,2.81,3,0.7,0.93,
D01294,GAMM,3,2.33,2,0.58,0.32,
D01294,NZMS,23,0.59,0.5,0.33,0.21,
D01294,SIML,26,2.62,2,0.94,1.3,
D01295,CHIL,3,2.67,3,0.58,0.07,
D01295,GAMM,0,NA,NA,NA,0,
D01295,NZMS,2,1.5,1.5,0.71,0.13,
D01295,SIML,1,3,3,NA,0.05,
D01296,CHIL,6,2.67,2.5,0.82,0.16,
D01296,GAMM,7,4.29,4,2.14,6.57,
D01296,NZMS,10,1.15,1,0.47,0.36,
D01296,SIML,6,3.17,3,0.75,0.44,
D01297,CHIL,2,4.5,4.5,0.71,0.19,
D01297,GAMM,1,4,4,NA,0.45,
D01297,NZMS,1,2,2,NA,0.11,
D01297,SIML,4,3.5,3.5,0.58,0.37,
D01298,CHIL,3,3.33,3,0.58,0.13,
D01298,GAMM,1,3,3,NA,0.2,
D01298,NZMS,2,1,1,0,0.04,
D01298,SIML,0,NA,NA,NA,0,
D01299,CHIL,22,2.86,3,0.56,0.65,
D01299,GAMM,2,4,4,0,0.9,
D01299,NZMS,0,NA,NA,NA,0,
D01299,SIML,19,3.32,4,0.95,1.72,
D01300,CHIL,3,2.33,2,0.58,0.05,
D01300,GAMM,0,NA,NA,NA,0,
D01300,NZMS,1,1,1,NA,0.02,
D01300,SIML,1,2,2,NA,0.02,
D01348,CHIL,5,4.2,4,0.45,0.39,
D01348,GAMM,0,NA,NA,NA,0,
D01348,NZMS,1,2,2,NA,0.11,
D01348,SIML,6,3.17,3,0.75,0.44,
D01349,CHIL,0,NA,NA,NA,0,
D01349,GAMM,2,2.5,2.5,0.71,0.26,
D01349,NZMS,0,NA,NA,NA,0,
D01349,SIML,6,3.5,3,1.38,0.75,
D01350,CHIL,1,2,2,NA,0.01,
D01350,GAMM,0,NA,NA,NA,0,
D01350,NZMS,0,NA,NA,NA,0,
D01350,SIML,0,NA,NA,NA,0,
D01351,CHIL,16,2.56,3,0.73,0.39,
D01351,GAMM,0,NA,NA,NA,0,
D01351,NZMS,0,NA,NA,NA,0,
D01351,SIML,22,2.64,3,0.66,0.97,
D01352,CHIL,0,NA,NA,NA,0,
D01352,GAMM,0,NA,NA,NA,0,
D01352,NZMS,0,NA,NA,NA,0,
D01352,SIML,0,NA,NA,NA,0,
D01399,CHIL,510,3.36,3,1.14,26.87,
D01399,GAMM,20,2.95,2.5,2.33,12.38,
D01399,NZMS,668,0.53,0.5,0.19,3.68,
D01399,SIML,0,NA,NA,NA,0,
D01400,CHIL,250,3.22,3,1.07,11.73,
D01400,GAMM,21,1.81,2,0.81,1.5,
D01400,NZMS,290,0.62,0.5,0.6,6.42,
D01400,SIML,2,2.5,2.5,0.71,0.07,
D01401,CHIL,149,3.23,3,1.05,7.01,
D01401,GAMM,2,2.5,2.5,0.71,0.26,
D01401,NZMS,144,0.59,0.5,0.43,1.73,
D01401,SIML,0,NA,NA,NA,0,
D01402,CHIL,226,3.87,4,1.11,16.36,
D01402,GAMM,1,1,1,NA,0.01,
D01402,NZMS,203,0.5,0.5,0,0.75,
D01402,SIML,2,2.5,2.5,0.71,0.07,
D01403,CHIL,237,3.73,4,1.26,16.41,
D01403,GAMM,6,2,2,0.89,0.54,
D01403,NZMS,10,0.65,0.5,0.24,0.09,
D01403,SIML,0,NA,NA,NA,0,
D01529,CHIL,59,3.31,3,0.75,2.66,
D01529,GAMM,0,NA,NA,NA,0,
D01529,NZMS,13,0.62,0.5,0.42,0.15,
D01529,SIML,0,NA,NA,NA,0,
D01535,CHIL,196,3.24,3,1,9.25,
D01535,GAMM,3,1,1,0,0.03,
D01535,NZMS,116,0.6,0.5,0.4,1.36,
D01535,SIML,0,NA,NA,NA,0,
D01536,CHIL,112,2.88,3,0.61,3.5,
D01536,GAMM,1,2,2,NA,0.06,
D01536,NZMS,134,0.59,0.5,0.4,1.52,
D01536,SIML,1,3,3,NA,0.05,
D01537,CHIL,77,3.18,3,0.8,3.22,
D01537,GAMM,0,NA,NA,NA,0,
D01537,NZMS,24,0.75,0.5,0.57,0.5,
D01537,SIML,0,NA,NA,NA,0,
D01538,CHIL,56,2.95,3,0.92,2.03,
D01538,GAMM,0,NA,NA,NA,0,
D01538,NZMS,18,0.81,0.5,0.73,0.57,
D01538,SIML,1,2,2,NA,0.02,
D01539,CHIL,7,2.14,2,0.69,0.1,
D01539,GAMM,0,NA,NA,NA,0,
D01539,NZMS,0,NA,NA,NA,0,
D01539,SIML,7,1.86,2,0.38,0.1,
D01540,CHIL,15,1.87,2,0.52,0.16,
D01540,GAMM,0,NA,NA,NA,0,
D01540,NZMS,2,2.5,2.5,0.71,0.4,
D01540,SIML,6,2.17,2,0.75,0.16,
D01542,CHIL,7,2.29,2,0.76,0.12,
D01542,GAMM,0,NA,NA,NA,0,
D01542,NZMS,1,2,2,NA,0.11,
D01542,SIML,10,2.4,2,0.84,0.37,
D01566,CHIL,17,2.06,2,0.9,0.29,
D01566,GAMM,0,NA,NA,NA,0,
D01566,NZMS,3,1.33,1,0.58,0.15,
D01566,SIML,3,1.67,2,0.58,0.03,
D01567,CHIL,56,2.26,2,1.36,1.45,
D01567,GAMM,22,2.73,3,1.24,5.11,
D01567,NZMS,11,3.45,4,0.82,4.87,
D01567,SIML,10,2.1,2,0.99,0.31,
D01568,CHIL,50,2.06,2,1.25,1.09,
D01568,GAMM,12,2.42,2,1.38,2.38,
D01568,NZMS,5,2.8,3,0.84,1.38,
D01568,SIML,2,2,2,1.41,0.05,
D01569,CHIL,53,2.06,2,0.93,0.9,
D01569,GAMM,8,1.88,2,0.83,0.62,
D01569,NZMS,5,2.6,3,1.14,1.29,
D01569,SIML,4,4,4,2.94,1.16,
D01570,CHIL,44,3.16,3,1.18,2.07,
D01570,GAMM,27,2.59,3,0.64,4.07,
D01570,NZMS,714,0.89,0.5,1.02,42.09,
D01570,SIML,6,3.5,3.5,1.05,0.64,
D01593,CHIL,47,2.12,2,0.79,0.73,
D01593,GAMM,3,2.33,2,1.53,0.52,
D01593,NZMS,0,NA,NA,NA,0,
D01593,SIML,9,1.89,2,0.78,0.18,
D01594,CHIL,43,2.98,3,1.2,1.8,
D01594,GAMM,132,2.61,2,1.76,51.9,
D01594,NZMS,881,0.59,0.5,0.43,11.05,
D01594,SIML,2,2.5,2.5,0.71,0.07,
D01595,CHIL,27,2.81,3,1.33,1.09,
D01595,GAMM,73,2.45,2,1.5,22.46,
D01595,NZMS,444,0.53,0.5,0.24,2.88,
D01595,SIML,6,3.17,2.5,2.64,1.25,
D01596,CHIL,11,3.18,3,0.98,0.48,
D01596,GAMM,48,2.21,2,1.07,6.58,
D01596,NZMS,223,0.57,0.5,0.42,2.54,
D01596,SIML,0,NA,NA,NA,0,
D01597,CHIL,11,2.82,3,1.08,0.38,
D01597,GAMM,56,2.27,2,1,7.6,
D01597,NZMS,72,0.5,0.5,0,0.27,
D01597,SIML,1,2,2,NA,0.02,
D01598,CHIL,5,3.2,3,1.3,0.24,
D01598,GAMM,47,2,2,1.23,6.62,
D01598,NZMS,20,0.52,0.5,0.11,0.09,
D01598,SIML,1,4,4,NA,0.13,
D01621,CHIL,5,3,3,1.22,0.2,
D01621,GAMM,37,3.03,3,1.67,14.73,
D01621,NZMS,213,0.81,0.5,0.82,8.09,
D01621,SIML,2,2,2,1.41,0.05,
D01622,CHIL,8,3,2.5,1.51,0.37,
D01622,GAMM,19,2.68,3,1.06,3.82,
D01622,NZMS,0,NA,NA,NA,0,
D01622,SIML,1,2,2,NA,0.02,
D01623,CHIL,10,3.3,3.5,1.34,0.52,
D01623,GAMM,21,2.48,2,1.63,5.37,
D01623,NZMS,5,3.4,4,0.89,2.14,
D01623,SIML,2,3.5,3.5,2.12,0.27,
D01624,CHIL,11,2.09,2,1.14,0.23,
D01624,GAMM,24,2.54,2,1.1,4.45,
D01624,NZMS,0,NA,NA,NA,0,
D01624,SIML,1,4,4,NA,0.13,
D01625,CHIL,3,3,3,0,0.09,
D01625,GAMM,27,2,2,0.96,2.73,
D01625,NZMS,3,5.33,5,1.53,3.84,
D01625,SIML,1,2,2,NA,0.02,
D01626,CHIL,5,4.6,4,1.34,0.55,
D01626,GAMM,63,2.67,3,0.82,11.45,
D01626,NZMS,83,1.19,0.5,1.22,7.87,
D01626,SIML,1,3,3,NA,0.05,
D01649,CHIL,12,3.92,4,1,0.86,
D01649,GAMM,32,3.31,3,1.03,10.56,
D01649,NZMS,65,0.74,0.5,0.84,2.54,
D01649,SIML,0,NA,NA,NA,0,
D01650,CHIL,18,2.89,2.5,1.32,0.75,
D01650,GAMM,34,2.03,2,1,3.7,
D01650,NZMS,629,0.51,0.5,0.14,2.91,
D01650,SIML,2,2,2,0,0.03,
D01651,CHIL,12,2.67,3,1.15,0.38,
D01651,GAMM,29,2.41,2,1.82,10.02,
D01651,NZMS,440,0.52,0.5,0.2,2.44,
D01651,SIML,0,NA,NA,NA,0,
D01652,CHIL,14,3,3,0.78,0.5,
D01652,GAMM,35,2.51,2,1.34,7.56,
D01652,NZMS,355,0.84,0.5,0.83,14.37,
D01652,SIML,3,2.67,3,0.58,0.13,
D01653,CHIL,12,3.42,3.5,1.44,0.73,
D01653,GAMM,17,2.65,2,0.86,3.02,
D01653,NZMS,168,0.58,0.5,0.44,2.04,
D01653,SIML,0,NA,NA,NA,0,
D01654,CHIL,9,3,3,1,0.35,
D01654,GAMM,24,2.62,2,1.06,4.69,
D01654,NZMS,84,0.5,0.5,0,0.31,
D01654,SIML,2,3,3,0,0.11,
D01677,CHIL,16,3.19,3,1.05,0.71,
D01677,GAMM,14,3.36,3,1.15,4.97,
D01677,NZMS,438,0.54,0.5,0.31,3.62,
D01677,SIML,0,NA,NA,NA,0,
D01678,CHIL,8,3,3,0.93,0.3,
D01678,GAMM,12,3.17,3,1.59,4.75,
D01678,NZMS,3,1.33,1,0.58,0.15,
D01678,SIML,4,4.25,5,2.22,0.95,
D01679,CHIL,9,3.33,3,1.5,0.52,
D01679,GAMM,6,2.17,2,0.41,0.51,
D01679,NZMS,5,3,3,1.22,1.76,
D01679,SIML,0,NA,NA,NA,0,
D01680,CHIL,5,2.6,3,0.55,0.11,
D01680,GAMM,14,2,2,0.68,1.11,
D01680,NZMS,4,3.5,3.5,0.58,1.74,
D01680,SIML,1,2,2,NA,0.02,
D01681,CHIL,0,NA,NA,NA,0,
D01681,GAMM,5,4.2,4,1.3,3.16,
D01681,NZMS,0,NA,NA,NA,0,
D01681,SIML,1,2,2,NA,0.02,
D01682,CHIL,1,3,3,NA,0.03,
D01682,GAMM,2,2,2,1.41,0.21,
D01682,NZMS,0,NA,NA,NA,0,
D01682,SIML,0,NA,NA,NA,0,
D01705,CHIL,5,3.6,4,0.89,0.28,
D01705,GAMM,33,3.24,3,1.12,10.89,
D01705,NZMS,44,1.01,0.5,1.18,3.63,
D01705,SIML,3,2,2,0,0.05,
D01706,CHIL,8,3.25,3,1.04,0.36,
D01706,GAMM,15,2.13,2,0.99,1.76,
D01706,NZMS,91,0.52,0.5,0.16,0.44,
D01706,SIML,2,3,3,0,0.11,
D01707,CHIL,8,3,3,1.31,0.33,
D01707,GAMM,8,2.38,2,0.92,1.11,
D01707,NZMS,40,0.51,0.5,0.08,0.16,
D01707,SIML,5,3,3,1,0.34,
D01708,CHIL,11,3.18,3,1.08,0.5,
D01708,GAMM,6,2.17,1.5,1.6,1.15,
D01708,NZMS,33,0.5,0.5,0,0.12,
D01708,SIML,5,3,3,1.22,0.39,
D01709,CHIL,8,2.75,3,0.71,0.23,
D01709,GAMM,4,1.5,1.5,0.58,0.14,
D01709,NZMS,23,0.5,0.5,0,0.09,
D01709,SIML,8,3.38,3.5,1.6,0.97,
D01732,CHIL,6,2.17,2,0.75,0.09,
D01732,GAMM,0,NA,NA,NA,0,
D01732,NZMS,0,NA,NA,NA,0,
D01732,SIML,13,1.85,2,0.55,0.21,
D01733,CHIL,15,2.8,3,0.94,0.49,
D01733,GAMM,0,NA,NA,NA,0,
D01733,NZMS,6,0.5,0.5,0,0.02,
D01733,SIML,51,2.25,2,0.63,1.44,
D01734,CHIL,23,2.35,2,0.83,0.49,
D01734,GAMM,2,1,1,0,0.02,
D01734,NZMS,0,NA,NA,NA,0,
D01734,SIML,120,2.33,2,0.75,4.04,
D01735,CHIL,20,2.35,2,0.88,0.42,
D01735,GAMM,2,1.5,1.5,0.71,0.07,
D01735,NZMS,0,NA,NA,NA,0,
D01735,SIML,57,2.49,2,0.57,2.05,
D01736,CHIL,5,2.4,2,0.55,0.09,
D01736,GAMM,0,NA,NA,NA,0,
D01736,NZMS,3,0.83,1,0.29,0.04,
D01736,SIML,56,2.27,2,0.59,1.59,
D01737,CHIL,8,3.12,3,0.35,0.29,
D01737,GAMM,2,3.5,3.5,0.71,0.65,
D01737,NZMS,0,NA,NA,NA,0,
D01737,SIML,33,3.18,3,0.58,2.37,
D01760,CHIL,28,2.89,3,1.1,1.05,
D01760,GAMM,10,3.7,4,0.95,4.17,
D01760,NZMS,1829,0.5,0.5,0,6.79,
D01760,SIML,20,3.35,3,0.99,1.92,
D01762,CHIL,8,2.38,2.5,0.74,0.16,
D01762,GAMM,4,2.75,2.5,0.96,0.77,
D01762,NZMS,2967,0.5,0.5,0,11.01,
D01762,SIML,3,4,3,1.73,0.55,
D01763,CHIL,9,2.11,2,0.78,0.13,
D01763,GAMM,1,1,1,NA,0.01,
D01763,NZMS,624,0.5,0.5,0.02,2.33,
D01763,SIML,2,3.5,3.5,2.12,0.27,
D01764,CHIL,21,2.67,3,1.06,0.65,
D01764,GAMM,8,2.75,1.5,2.49,4.29,
D01764,NZMS,3690,0.5,0.5,0,13.69,
D01764,SIML,3,3.33,3,1.53,0.32,
D01900,CHIL,9,2.56,2,0.88,0.23,
D01900,GAMM,0,NA,NA,NA,0,
D01900,NZMS,8,0.5,0.5,0,0.03,
D01900,SIML,5,2.8,3,0.84,0.27,
D01901,CHIL,10,2.7,3,1.06,0.31,
D01901,GAMM,0,NA,NA,NA,0,
D01901,NZMS,3,0.5,0.5,0,0.01,
D01901,SIML,4,1.75,2,0.5,0.05,
D01902,CHIL,10,1.8,2,0.42,0.09,
D01902,GAMM,4,3,3,0.82,0.91,
D01902,NZMS,10,0.6,0.5,0.21,0.07,
D01902,SIML,3,1.67,2,0.58,0.03,
D01903,CHIL,4,2.75,2.5,0.96,0.12,
D01903,GAMM,0,NA,NA,NA,0,
D01903,NZMS,5,0.6,0.5,0.22,0.03,
D01903,SIML,1,2,2,NA,0.02,
D01904,CHIL,15,2.13,2,0.83,0.26,
D01904,GAMM,0,NA,NA,NA,0,
D01904,NZMS,13,0.5,0.5,0,0.05,
D01904,SIML,0,NA,NA,NA,0,
D01941,CHIL,8,2.75,2.5,0.89,0.23,
D01941,GAMM,0,NA,NA,NA,0,
D01941,NZMS,0,NA,NA,NA,0,
D01941,SIML,4,3,3,1.15,0.29,
D01942,CHIL,20,3.1,3,0.97,0.83,
D01942,GAMM,0,NA,NA,NA,0,
D01942,NZMS,2,1,1,0,0.04,
D01942,SIML,1,2,2,NA,0.02,
D01943,CHIL,13,3.08,3,0.95,0.52,
D01943,GAMM,0,NA,NA,NA,0,
D01943,NZMS,0,NA,NA,NA,0,
D01943,SIML,0,NA,NA,NA,0,
D01944,CHIL,6,2.5,2,0.84,0.14,
D01944,GAMM,0,NA,NA,NA,0,
D01944,NZMS,1,2,2,NA,0.11,
D01944,SIML,4,3,3,0.82,0.26,
D01945,CHIL,10,2.6,3,0.84,0.26,
D01945,GAMM,2,2.5,2.5,0.71,0.26,
D01945,NZMS,0,NA,NA,NA,0,
D01945,SIML,4,3.75,3.5,1.71,0.64,
D02052,CHIL,121,2.52,2,1.17,3.86,
D02052,GAMM,0,NA,NA,NA,0,
D02052,NZMS,1,1,1,NA,0.02,
D02052,SIML,3,2.67,3,1.53,0.18,
D02053,CHIL,63,2.62,3,1,1.84,
D02053,GAMM,1,1,1,NA,0.01,
D02053,NZMS,0,NA,NA,NA,0,
D02053,SIML,5,2.6,2,1.34,0.31,
D02054,CHIL,50,2.4,2,0.95,1.21,
D02054,GAMM,0,NA,NA,NA,0,
D02054,NZMS,0,NA,NA,NA,0,
D02054,SIML,2,1.5,1.5,0.71,0.02,
D02055,CHIL,195,2.72,3,1.07,6.3,
D02055,GAMM,0,NA,NA,NA,0,
D02055,NZMS,3,1.33,1,0.58,0.15,
D02055,SIML,1,2,2,NA,0.02,
D02071,CHIL,87,2.86,3,1.04,3.09,
D02071,GAMM,4,2.75,2.5,0.96,0.77,
D02071,NZMS,5,1,1,0.61,0.16,
D02071,SIML,9,2.78,2,1.48,0.74,
D02072,CHIL,56,3.07,3,1.08,2.4,
D02072,GAMM,0,NA,NA,NA,0,
D02072,NZMS,2,1.5,1.5,0.71,0.13,
D02072,SIML,5,3,2,1.41,0.43,
D02073,CHIL,70,2.73,3,0.65,1.96,
D02073,GAMM,0,NA,NA,NA,0,
D02073,NZMS,174,0.61,0.5,0.48,2.59,
D02073,SIML,7,2.43,2,1.4,0.39,
D02074,CHIL,53,2.98,3,0.91,1.97,
D02074,GAMM,0,NA,NA,NA,0,
D02074,NZMS,269,0.5,0.5,0,1,
D02074,SIML,1,4,4,NA,0.13,
D02075,CHIL,78,3.12,3,0.87,3.16,
D02075,GAMM,0,NA,NA,NA,0,
D02075,NZMS,320,0.58,0.5,0.45,4.04,
D02075,SIML,3,2.67,2,1.15,0.16,
D02081,CHIL,92,3.25,3,1.04,4.32,
D02081,GAMM,4,2.25,2.5,0.96,0.47,
D02081,NZMS,182,0.52,0.5,0.16,0.89,
D02081,SIML,0,NA,NA,NA,0,
D02082,CHIL,55,3,3,0.88,2.04,
D02082,GAMM,1,2,2,NA,0.06,
D02082,NZMS,347,0.82,0.5,0.75,11.7,
D02082,SIML,2,2.5,2.5,0.71,0.07,
D02083,CHIL,43,3.03,3,0.52,1.46,
D02083,GAMM,0,NA,NA,NA,0,
D02083,NZMS,491,0.67,0.5,0.5,8.18,
D02083,SIML,0,NA,NA,NA,0,
D02084,CHIL,25,2.52,2,0.65,0.56,
D02084,GAMM,1,3,3,NA,0.2,
D02084,NZMS,86,0.59,0.5,0.28,0.64,
D02084,SIML,0,NA,NA,NA,0,
D02090,CHIL,71,2.9,2.5,1.41,3.04,
D02090,GAMM,2,2.5,2.5,0.71,0.26,
D02090,NZMS,12,1.38,1,0.83,0.85,
D02090,SIML,3,2,2,0,0.05,
D02144,CHIL,406,2.55,2,1.17,12.47,
D02144,GAMM,2,1.25,1.25,1.06,0.06,
D02144,NZMS,5,1,1,0,0.1,
D02144,SIML,9,2.56,2,0.73,0.37,
D02145,CHIL,249,2.42,2,1.03,6.19,
D02145,GAMM,1,2,2,NA,0.06,
D02145,NZMS,3,1,1,0,0.06,
D02145,SIML,5,3.6,4,1.14,0.58,
D02146,CHIL,205,2.6,2,1.04,6.05,
D02146,GAMM,1,5,5,NA,0.86,
D02146,NZMS,0,NA,NA,NA,0,
D02146,SIML,3,3,2,2.65,0.46,
D02147,CHIL,66,2.64,3,0.95,1.92,
D02147,GAMM,0,NA,NA,NA,0,
D02147,NZMS,22,0.5,0.5,0,0.08,
D02147,SIML,1,3,3,NA,0.05,
D02148,CHIL,152,2.81,3,0.95,5.08,
D02148,GAMM,0,NA,NA,NA,0,
D02148,NZMS,48,0.5,0.5,0,0.18,
D02148,SIML,2,2,2,0,0.03,
D02382,CHIL,18,3.06,3.5,1.3,0.81,
D02382,GAMM,0,NA,NA,NA,0,
D02382,NZMS,9,2.78,3,1.64,3.33,
D02382,SIML,1,2,2,NA,0.02,
D02383,CHIL,9,3.89,4,1.05,0.63,
D02383,GAMM,1,4,4,NA,0.45,
D02383,NZMS,0,NA,NA,NA,0,
D02383,SIML,1,2,2,NA,0.02,
D02384,CHIL,5,3.6,4,0.89,0.28,
D02384,GAMM,1,3,3,NA,0.2,
D02384,NZMS,1,2,2,NA,0.11,
D02384,SIML,0,NA,NA,NA,0,
D02385,CHIL,2,2.5,2.5,2.12,0.07,
D02385,GAMM,0,NA,NA,NA,0,
D02385,NZMS,372,0.52,0.5,0.27,2.66,
D02385,SIML,1,2,2,NA,0.02,
D02391,CHIL,9,3.33,3,1.12,0.46,
D02391,GAMM,0,NA,NA,NA,0,
D02391,NZMS,318,0.55,0.5,0.27,2.22,
D02391,SIML,4,3.75,3.5,0.96,0.49,
D02392,CHIL,9,3,3,0.87,0.32,
D02392,GAMM,1,2,2,NA,0.06,
D02392,NZMS,505,0.51,0.5,0.17,2.55,
D02392,SIML,9,3.11,3,1.36,0.87,
D02393,CHIL,4,3,3,0.82,0.14,
D02393,GAMM,0,NA,NA,NA,0,
D02393,NZMS,401,0.5,0.5,0.02,1.5,
D02393,SIML,4,3.75,3.5,0.96,0.49,
D02394,CHIL,3,2.67,3,0.58,0.07,
D02394,GAMM,2,3,3,0,0.4,
D02394,NZMS,596,0.55,0.5,0.27,4.19,
D02394,SIML,2,1.5,1.5,0.71,0.02,
D02395,CHIL,4,3.5,3,1,0.21,
D02395,GAMM,1,3,3,NA,0.2,
D02395,NZMS,700,0.5,0.5,0,2.6,
D02395,SIML,7,3.43,3,0.98,0.69,
D02401,CHIL,41,2.93,3,1.03,1.53,
D02401,GAMM,1,2,2,NA,0.06,
D02401,NZMS,5,0.5,0.5,0,0.02,
D02401,SIML,4,2.25,2,1.5,0.18,
D02402,CHIL,37,2.95,3,0.74,1.27,
D02402,GAMM,0,NA,NA,NA,0,
D02402,NZMS,423,0.54,0.5,0.21,2.52,
D02402,SIML,6,3.83,4,1.17,0.84,
D02403,CHIL,29,2.76,3,1.06,0.96,
D02403,GAMM,1,4,4,NA,0.45,
D02403,NZMS,2,0.5,0.5,0,0.01,
D02403,SIML,3,4.67,6,3.21,1.14,
D02404,CHIL,23,3,3,1.13,0.95,
D02404,GAMM,0,NA,NA,NA,0,
D02404,NZMS,2,0.5,0.5,0,0.01,
D02404,SIML,3,3.33,4,1.15,0.28,
D02405,CHIL,58,3.21,3,1,2.58,
D02405,GAMM,1,2,2,NA,0.06,
D02405,NZMS,536,0.58,0.5,0.42,6.51,
D02405,SIML,3,2.67,3,0.58,0.13,
D02411,CHIL,5,3.4,4,0.89,0.24,
D02411,GAMM,0,NA,NA,NA,0,
D02411,NZMS,1,5,5,NA,1,
D02411,SIML,1,2,2,NA,0.02,
D02412,CHIL,8,3.38,3.5,1.19,0.41,
D02412,GAMM,0,NA,NA,NA,0,
D02412,NZMS,689,0.66,0.5,0.55,12.52,
D02412,SIML,3,2,2,0,0.05,
D02413,CHIL,7,2.86,3,0.69,0.22,
D02413,GAMM,1,3,3,NA,0.2,
D02413,NZMS,7,1,0.5,0.91,0.34,
D02413,SIML,1,3,3,NA,0.05,
D02414,CHIL,3,1.67,1,1.15,0.03,
